,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Amount_Term1,app_income_cut,coapp_income_cut,Loan_StatusNum
0,0,Graduate,No,5849,0.0,146.41,360.0,1.0,Urban,200-500,0-12.5K,0-5K,1
1,1,Graduate,No,4583,1508.0,128.0,360.0,1.0,Rural,200-500,0-12.5K,0-5K,0
2,0,Graduate,Yes,3000,0.0,66.0,360.0,1.0,Urban,200-500,0-12.5K,0-5K,1
3,0,Not Graduate,No,2583,2358.0,120.0,360.0,1.0,Urban,200-500,0-12.5K,0-5K,1
4,0,Graduate,No,6000,0.0,141.0,360.0,1.0,Urban,200-500,0-12.5K,0-5K,1
5,2,Graduate,Yes,5417,4196.0,267.0,360.0,1.0,Urban,200-500,0-12.5K,0-5K,1
6,0,Not Graduate,No,2333,1516.0,95.0,360.0,1.0,Urban,200-500,0-12.5K,0-5K,1
7,3+,Graduate,No,3036,2504.0,158.0,360.0,0.0,Semiurban,200-500,0-12.5K,0-5K,0
8,2,Graduate,No,4006,1526.0,168.0,360.0,1.0,Urban,200-500,0-12.5K,0-5K,1
9,1,Graduate,No,12841,10968.0,349.0,360.0,1.0,Semiurban,200-500,12.5K-25K,10K+,0
10,2,Graduate,No,3200,700.0,70.0,360.0,1.0,Urban,200-500,0-12.5K,0-5K,1
12,2,Graduate,No,3073,8106.0,200.0,360.0,1.0,Urban,200-500,0-12.5K,5K-10K,1
13,0,Graduate,No,1853,2840.0,114.0,360.0,1.0,Rural,200-500,0-12.5K,0-5K,0
14,2,Graduate,No,1299,1086.0,17.0,120.0,1.0,Urban,100-200,0-12.5K,0-5K,1
15,0,Graduate,No,4950,0.0,125.0,360.0,1.0,Urban,200-500,0-12.5K,0-5K,1
17,0,Graduate,No,3510,0.0,76.0,360.0,0.0,Urban,200-500,0-12.5K,0-5K,0
18,0,Not Graduate,No,4887,0.0,133.0,360.0,1.0,Rural,200-500,0-12.5K,0-5K,0
20,0,Not Graduate,No,7660,0.0,104.0,360.0,0.0,Urban,200-500,0-12.5K,0-5K,0
21,1,Graduate,No,5955,5625.0,315.0,360.0,1.0,Urban,200-500,0-12.5K,5K-10K,1
22,0,Not Graduate,No,2600,1911.0,116.0,360.0,0.0,Semiurban,200-500,0-12.5K,0-5K,0
25,0,Graduate,Yes,9560,0.0,191.0,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,1
26,0,Graduate,No,2799,2253.0,122.0,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,1
27,2,Not Graduate,No,4226,1040.0,110.0,360.0,1.0,Urban,200-500,0-12.5K,0-5K,1
28,0,Not Graduate,No,1442,0.0,35.0,360.0,1.0,Urban,200-500,0-12.5K,0-5K,0
31,0,Graduate,No,3167,0.0,74.0,360.0,1.0,Urban,200-500,0-12.5K,0-5K,0
32,1,Graduate,Yes,4692,0.0,106.0,360.0,1.0,Rural,200-500,0-12.5K,0-5K,0
33,0,Graduate,No,3500,1667.0,114.0,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,1
34,3+,Graduate,No,12500,3000.0,320.0,360.0,1.0,Rural,200-500,0-12.5K,0-5K,0
35,0,Graduate,No,2275,2067.0,146.41,360.0,1.0,Urban,200-500,0-12.5K,0-5K,1
36,0,Graduate,No,1828,1330.0,100.0,342.0,0.0,Urban,200-500,0-12.5K,0-5K,0
37,0,Graduate,No,3667,1459.0,144.0,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,1
38,0,Graduate,No,4166,7210.0,184.0,360.0,1.0,Urban,200-500,0-12.5K,5K-10K,1
39,0,Not Graduate,No,3748,1668.0,110.0,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,1
40,0,Graduate,No,3600,0.0,80.0,360.0,1.0,Urban,200-500,0-12.5K,0-5K,0
41,0,Graduate,No,1800,1213.0,47.0,360.0,1.0,Urban,200-500,0-12.5K,0-5K,1
43,0,Graduate,No,3941,2336.0,134.0,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,1
44,0,Not Graduate,Yes,4695,0.0,96.0,342.0,1.0,Urban,200-500,0-12.5K,0-5K,1
45,0,Graduate,No,3410,0.0,88.0,342.0,1.0,Urban,200-500,0-12.5K,0-5K,1
46,1,Graduate,No,5649,0.0,44.0,360.0,1.0,Urban,200-500,0-12.5K,0-5K,1
47,0,Graduate,No,5821,0.0,144.0,360.0,1.0,Urban,200-500,0-12.5K,0-5K,1
48,0,Graduate,No,2645,3440.0,120.0,360.0,0.0,Urban,200-500,0-12.5K,0-5K,0
49,0,Graduate,No,4000,2275.0,144.0,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,1
50,0,Not Graduate,No,1928,1644.0,100.0,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,1
51,0,Graduate,No,3086,0.0,120.0,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,1
52,0,Graduate,No,4230,0.0,112.0,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,0
53,2,Graduate,No,4616,0.0,134.0,360.0,1.0,Urban,200-500,0-12.5K,0-5K,0
54,1,Graduate,Yes,11500,0.0,286.0,360.0,0.0,Urban,200-500,0-12.5K,0-5K,0
55,2,Graduate,No,2708,1167.0,97.0,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,1
56,0,Graduate,No,2132,1591.0,96.0,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,1
57,0,Graduate,No,3366,2200.0,135.0,360.0,1.0,Rural,200-500,0-12.5K,0-5K,0
58,1,Graduate,No,8080,2250.0,180.0,360.0,1.0,Urban,200-500,0-12.5K,0-5K,1
59,2,Not Graduate,No,3357,2859.0,144.0,360.0,1.0,Urban,200-500,0-12.5K,0-5K,1
60,0,Graduate,No,2500,3796.0,120.0,360.0,1.0,Urban,200-500,0-12.5K,0-5K,1
61,3+,Graduate,No,3029,0.0,99.0,360.0,1.0,Urban,200-500,0-12.5K,0-5K,1
62,0,Not Graduate,Yes,2609,3449.0,165.0,180.0,0.0,Rural,100-200,0-12.5K,0-5K,0
63,1,Graduate,No,4945,0.0,146.41,360.0,0.0,Rural,200-500,0-12.5K,0-5K,0
64,0,Graduate,No,4166,0.0,116.0,360.0,0.0,Semiurban,200-500,0-12.5K,0-5K,0
65,0,Graduate,No,5726,4595.0,258.0,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,0
66,0,Not Graduate,No,3200,2254.0,126.0,180.0,0.0,Urban,100-200,0-12.5K,0-5K,0
67,1,Graduate,No,10750,0.0,312.0,360.0,1.0,Urban,200-500,0-12.5K,0-5K,1
68,3+,Not Graduate,Yes,7100,0.0,125.0,60.0,1.0,Urban,10-100,0-12.5K,0-5K,1
69,0,Graduate,No,4300,0.0,136.0,360.0,0.0,Semiurban,200-500,0-12.5K,0-5K,0
70,0,Graduate,No,3208,3066.0,172.0,360.0,1.0,Urban,200-500,0-12.5K,0-5K,1
71,2,Not Graduate,Yes,1875,1875.0,97.0,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,1
72,0,Graduate,No,3500,0.0,81.0,300.0,1.0,Semiurban,200-500,0-12.5K,0-5K,1
73,3+,Not Graduate,No,4755,0.0,95.0,342.0,0.0,Semiurban,200-500,0-12.5K,0-5K,0
74,3+,Graduate,Yes,5266,1774.0,187.0,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,1
75,0,Graduate,No,3750,0.0,113.0,480.0,1.0,Urban,200-500,0-12.5K,0-5K,0
76,0,Graduate,No,3750,4750.0,176.0,360.0,1.0,Urban,200-500,0-12.5K,0-5K,0
77,1,Graduate,Yes,1000,3022.0,110.0,360.0,1.0,Urban,200-500,0-12.5K,0-5K,0
78,3+,Graduate,No,3167,4000.0,180.0,300.0,0.0,Semiurban,200-500,0-12.5K,0-5K,0
80,0,Graduate,No,3846,0.0,111.0,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,1
81,1,Graduate,Yes,2395,0.0,146.41,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,1
82,2,Graduate,No,1378,1881.0,167.0,360.0,1.0,Urban,200-500,0-12.5K,0-5K,0
84,1,Graduate,No,3988,0.0,50.0,240.0,1.0,Urban,200-500,0-12.5K,0-5K,1
85,0,Graduate,No,2366,2531.0,136.0,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,1
87,0,Graduate,No,2500,2118.0,104.0,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,1
88,0,Graduate,No,8566,0.0,210.0,360.0,1.0,Urban,200-500,0-12.5K,0-5K,1
89,0,Graduate,No,5695,4167.0,175.0,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,1
90,0,Graduate,No,2958,2900.0,131.0,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,1
91,2,Graduate,No,6250,5654.0,188.0,180.0,1.0,Semiurban,100-200,0-12.5K,5K-10K,1
92,2,Not Graduate,No,3273,1820.0,81.0,360.0,1.0,Urban,200-500,0-12.5K,0-5K,1
93,0,Graduate,No,4133,0.0,122.0,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,1
94,0,Not Graduate,No,3620,0.0,25.0,120.0,1.0,Semiurban,100-200,0-12.5K,0-5K,1
96,0,Graduate,No,2484,2302.0,137.0,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,1
97,0,Graduate,No,1977,997.0,50.0,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,1
98,0,Not Graduate,No,4188,0.0,115.0,180.0,1.0,Semiurban,100-200,0-12.5K,0-5K,1
99,0,Graduate,No,1759,3541.0,131.0,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,1
100,2,Not Graduate,No,4288,3263.0,133.0,180.0,1.0,Urban,100-200,0-12.5K,0-5K,1
101,0,Graduate,No,4843,3806.0,151.0,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,1
102,nan,Graduate,No,13650,0.0,146.41,360.0,1.0,Urban,200-500,12.5K-25K,0-5K,1
103,0,Graduate,No,4652,3583.0,146.41,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,1
105,1,Graduate,No,3052,1030.0,100.0,360.0,1.0,Urban,200-500,0-12.5K,0-5K,1
106,2,Graduate,No,11417,1126.0,225.0,360.0,1.0,Urban,200-500,0-12.5K,0-5K,1
108,2,Graduate,No,3800,3600.0,216.0,360.0,0.0,Urban,200-500,0-12.5K,0-5K,0
109,3+,Not Graduate,No,2071,754.0,94.0,480.0,1.0,Semiurban,200-500,0-12.5K,0-5K,1
110,0,Graduate,No,5316,0.0,136.0,360.0,1.0,Urban,200-500,0-12.5K,0-5K,1
112,0,Not Graduate,No,3572,4114.0,152.0,342.0,0.0,Rural,200-500,0-12.5K,0-5K,0
113,1,Graduate,Yes,7451,0.0,146.41,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,1
115,1,Graduate,No,14583,0.0,185.0,180.0,1.0,Rural,100-200,12.5K-25K,0-5K,1
116,0,Graduate,No,3167,2283.0,154.0,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,1
118,0,Graduate,No,5568,2142.0,175.0,360.0,1.0,Rural,200-500,0-12.5K,0-5K,0
119,0,Graduate,No,10408,0.0,259.0,360.0,1.0,Urban,200-500,0-12.5K,0-5K,1
120,nan,Graduate,No,5667,2667.0,180.0,360.0,1.0,Rural,200-500,0-12.5K,0-5K,1
121,0,Graduate,No,4166,0.0,44.0,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,1
122,0,Graduate,No,2137,8980.0,137.0,360.0,0.0,Semiurban,200-500,0-12.5K,5K-10K,1
123,2,Graduate,No,2957,0.0,81.0,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,1
124,0,Not Graduate,No,4300,2014.0,194.0,360.0,1.0,Rural,200-500,0-12.5K,0-5K,1
127,0,Graduate,No,3865,1640.0,146.41,360.0,1.0,Rural,200-500,0-12.5K,0-5K,1
128,1,Graduate,Yes,10513,3850.0,160.0,180.0,0.0,Urban,100-200,0-12.5K,0-5K,0
131,0,Graduate,No,2014,1929.0,74.0,360.0,1.0,Urban,200-500,0-12.5K,0-5K,1
132,0,Graduate,No,2718,0.0,70.0,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,1
133,0,Graduate,Yes,3459,0.0,25.0,120.0,1.0,Semiurban,100-200,0-12.5K,0-5K,1
134,0,Graduate,No,4895,0.0,102.0,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,1
135,3+,Graduate,No,4000,7750.0,290.0,360.0,1.0,Semiurban,200-500,0-12.5K,5K-10K,0
136,0,Graduate,No,4583,0.0,84.0,360.0,1.0,Rural,200-500,0-12.5K,0-5K,0
137,2,Graduate,Yes,3316,3500.0,88.0,360.0,1.0,Urban,200-500,0-12.5K,0-5K,1
138,0,Graduate,No,14999,0.0,242.0,360.0,0.0,Semiurban,200-500,12.5K-25K,0-5K,0
139,2,Not Graduate,No,4200,1430.0,129.0,360.0,1.0,Rural,200-500,0-12.5K,0-5K,0
140,2,Graduate,No,5042,2083.0,185.0,360.0,1.0,Rural,200-500,0-12.5K,0-5K,0
141,0,Graduate,No,5417,0.0,168.0,360.0,1.0,Urban,200-500,0-12.5K,0-5K,1
142,0,Graduate,Yes,6950,0.0,175.0,180.0,1.0,Semiurban,100-200,0-12.5K,0-5K,1
143,0,Graduate,No,2698,2034.0,122.0,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,1
144,2,Graduate,No,11757,0.0,187.0,180.0,1.0,Urban,100-200,0-12.5K,0-5K,1
145,0,Graduate,No,2330,4486.0,100.0,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,1
146,2,Graduate,No,14866,0.0,70.0,360.0,1.0,Urban,200-500,12.5K-25K,0-5K,1
147,1,Graduate,No,1538,1425.0,30.0,360.0,1.0,Urban,200-500,0-12.5K,0-5K,1
148,0,Graduate,No,10000,1666.0,225.0,360.0,1.0,Rural,200-500,0-12.5K,0-5K,0
149,0,Graduate,No,4860,830.0,125.0,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,1
150,0,Graduate,No,6277,0.0,118.0,360.0,0.0,Rural,200-500,0-12.5K,0-5K,0
151,0,Graduate,Yes,2577,3750.0,152.0,360.0,1.0,Rural,200-500,0-12.5K,0-5K,1
152,0,Graduate,No,9166,0.0,244.0,360.0,1.0,Urban,200-500,0-12.5K,0-5K,0
153,2,Not Graduate,No,2281,0.0,113.0,360.0,1.0,Rural,200-500,0-12.5K,0-5K,0
154,0,Graduate,No,3254,0.0,50.0,360.0,1.0,Urban,200-500,0-12.5K,0-5K,1
155,3+,Graduate,No,39999,0.0,600.0,180.0,0.0,Semiurban,100-200,25K+,0-5K,1
157,1,Graduate,No,9538,0.0,187.0,360.0,1.0,Urban,200-500,0-12.5K,0-5K,1
159,0,Graduate,No,4583,5625.0,255.0,360.0,1.0,Semiurban,200-500,0-12.5K,5K-10K,1
160,0,Not Graduate,No,1863,1041.0,98.0,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,1
161,0,Graduate,No,7933,0.0,275.0,360.0,1.0,Urban,200-500,0-12.5K,0-5K,0
162,1,Graduate,No,3089,1280.0,121.0,360.0,0.0,Semiurban,200-500,0-12.5K,0-5K,0
163,2,Graduate,No,4167,1447.0,158.0,360.0,1.0,Rural,200-500,0-12.5K,0-5K,1
164,0,Graduate,No,9323,0.0,75.0,180.0,1.0,Urban,100-200,0-12.5K,0-5K,1
165,0,Graduate,No,3707,3166.0,182.0,342.0,1.0,Rural,200-500,0-12.5K,0-5K,1
166,0,Graduate,No,4583,0.0,112.0,360.0,1.0,Rural,200-500,0-12.5K,0-5K,0
167,0,Graduate,No,2439,3333.0,129.0,360.0,1.0,Rural,200-500,0-12.5K,0-5K,1
168,0,Graduate,No,2237,0.0,63.0,480.0,0.0,Semiurban,200-500,0-12.5K,0-5K,0
169,2,Graduate,No,8000,0.0,200.0,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,1
172,3+,Not Graduate,No,3522,0.0,81.0,180.0,1.0,Rural,100-200,0-12.5K,0-5K,0
173,0,Graduate,No,5708,5625.0,187.0,360.0,1.0,Semiurban,200-500,0-12.5K,5K-10K,1
174,0,Not Graduate,Yes,4344,736.0,87.0,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,0
175,0,Graduate,No,3497,1964.0,116.0,360.0,1.0,Rural,200-500,0-12.5K,0-5K,1
176,2,Graduate,No,2045,1619.0,101.0,360.0,1.0,Rural,200-500,0-12.5K,0-5K,1
177,3+,Graduate,No,5516,11300.0,495.0,360.0,0.0,Semiurban,200-500,0-12.5K,10K+,0
178,1,Graduate,No,3750,0.0,116.0,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,1
179,0,Not Graduate,No,2333,1451.0,102.0,480.0,0.0,Urban,200-500,0-12.5K,0-5K,0
180,1,Graduate,No,6400,7250.0,180.0,360.0,0.0,Urban,200-500,0-12.5K,5K-10K,0
182,0,Graduate,No,4600,0.0,73.0,180.0,1.0,Semiurban,100-200,0-12.5K,0-5K,1
183,1,Graduate,No,33846,0.0,260.0,360.0,1.0,Semiurban,200-500,25K+,0-5K,0
184,0,Graduate,No,3625,0.0,108.0,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,1
185,0,Graduate,Yes,39147,4750.0,120.0,360.0,1.0,Semiurban,200-500,25K+,0-5K,1
186,1,Graduate,Yes,2178,0.0,66.0,300.0,0.0,Rural,200-500,0-12.5K,0-5K,0
189,0,Graduate,No,9328,0.0,188.0,180.0,1.0,Rural,100-200,0-12.5K,0-5K,1
190,0,Not Graduate,No,4885,0.0,48.0,360.0,1.0,Rural,200-500,0-12.5K,0-5K,1
191,0,Graduate,No,12000,0.0,164.0,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,0
192,0,Not Graduate,No,6033,0.0,160.0,360.0,1.0,Urban,200-500,0-12.5K,0-5K,0
193,0,Graduate,No,3858,0.0,76.0,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,1
194,0,Graduate,No,4191,0.0,120.0,360.0,1.0,Rural,200-500,0-12.5K,0-5K,1
195,1,Graduate,No,3125,2583.0,170.0,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,0
196,0,Graduate,No,8333,3750.0,187.0,360.0,1.0,Rural,200-500,0-12.5K,0-5K,1
197,0,Not Graduate,No,1907,2365.0,120.0,342.0,1.0,Urban,200-500,0-12.5K,0-5K,1
199,0,Graduate,Yes,11000,0.0,83.0,360.0,1.0,Urban,200-500,0-12.5K,0-5K,0
200,1,Not Graduate,No,2600,2500.0,90.0,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,1
201,2,Graduate,No,4923,0.0,166.0,360.0,0.0,Semiurban,200-500,0-12.5K,0-5K,1
