,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Amount_Term1,app_income_cut,coapp_income_cut,Loan_StatusNum
406,0,Not Graduate,No,2167,2400.0,115.0,360.0,1.0,Urban,200-500,0-12.5K,0-5K,1
407,0,Not Graduate,No,2213,0.0,66.0,360.0,1.0,Rural,200-500,0-12.5K,0-5K,1
408,1,Graduate,No,8300,0.0,152.0,300.0,0.0,Semiurban,200-500,0-12.5K,0-5K,0
409,3+,Graduate,No,81000,0.0,360.0,360.0,0.0,Rural,200-500,25K+,0-5K,0
410,1,Not Graduate,Yes,3867,0.0,62.0,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,0
412,0,Not Graduate,No,6096,0.0,218.0,360.0,0.0,Rural,200-500,0-12.5K,0-5K,0
413,0,Not Graduate,No,2253,2033.0,110.0,360.0,1.0,Rural,200-500,0-12.5K,0-5K,1
414,0,Not Graduate,No,2149,3237.0,178.0,360.0,0.0,Semiurban,200-500,0-12.5K,0-5K,0
415,0,Graduate,No,2995,0.0,60.0,360.0,1.0,Urban,200-500,0-12.5K,0-5K,1
416,1,Graduate,No,2600,0.0,160.0,360.0,1.0,Urban,200-500,0-12.5K,0-5K,0
417,2,Graduate,Yes,1600,20000.0,239.0,360.0,1.0,Urban,200-500,0-12.5K,10K+,0
418,0,Graduate,No,1025,2773.0,112.0,360.0,1.0,Rural,200-500,0-12.5K,0-5K,1
419,0,Graduate,No,3246,1417.0,138.0,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,1
420,0,Graduate,No,5829,0.0,138.0,360.0,1.0,Rural,200-500,0-12.5K,0-5K,1
421,0,Not Graduate,No,2720,0.0,80.0,342.0,0.0,Urban,200-500,0-12.5K,0-5K,0
422,0,Graduate,No,1820,1719.0,100.0,360.0,1.0,Urban,200-500,0-12.5K,0-5K,1
423,1,Graduate,No,7250,1667.0,110.0,342.0,0.0,Urban,200-500,0-12.5K,0-5K,0
424,0,Graduate,No,14880,0.0,96.0,360.0,1.0,Semiurban,200-500,12.5K-25K,0-5K,1
425,0,Graduate,No,2666,4300.0,121.0,360.0,1.0,Rural,200-500,0-12.5K,0-5K,1
426,1,Not Graduate,No,4606,0.0,81.0,360.0,1.0,Rural,200-500,0-12.5K,0-5K,0
427,2,Graduate,No,5935,0.0,133.0,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,1
428,0,Graduate,No,2920,16.12000084,87.0,360.0,1.0,Rural,200-500,0-12.5K,0-5K,1
429,0,Not Graduate,No,2717,0.0,60.0,180.0,1.0,Urban,100-200,0-12.5K,0-5K,1
430,1,Graduate,Yes,8624,0.0,150.0,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,1
431,0,Graduate,No,6500,0.0,105.0,360.0,0.0,Rural,200-500,0-12.5K,0-5K,0
433,0,Graduate,No,2425,2340.0,143.0,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,1
434,0,Graduate,No,3750,0.0,100.0,360.0,1.0,Urban,200-500,0-12.5K,0-5K,1
436,0,Graduate,No,1926,1851.0,50.0,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,1
437,0,Graduate,No,2213,1125.0,146.41,360.0,1.0,Urban,200-500,0-12.5K,0-5K,1
438,0,Graduate,Yes,10416,0.0,187.0,360.0,0.0,Urban,200-500,0-12.5K,0-5K,0
439,0,Not Graduate,Yes,7142,0.0,138.0,360.0,1.0,Rural,200-500,0-12.5K,0-5K,1
440,0,Graduate,No,3660,5064.0,187.0,360.0,1.0,Semiurban,200-500,0-12.5K,5K-10K,1
441,0,Graduate,No,7901,1833.0,180.0,360.0,1.0,Rural,200-500,0-12.5K,0-5K,1
442,3+,Not Graduate,No,4707,1993.0,148.0,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,1
443,1,Graduate,No,37719,0.0,152.0,360.0,1.0,Semiurban,200-500,25K+,0-5K,1
445,1,Graduate,Yes,3466,1210.0,130.0,360.0,1.0,Rural,200-500,0-12.5K,0-5K,1
446,2,Not Graduate,No,4652,0.0,110.0,360.0,1.0,Rural,200-500,0-12.5K,0-5K,1
448,2,Graduate,No,3340,1710.0,150.0,360.0,0.0,Rural,200-500,0-12.5K,0-5K,0
450,2,Not Graduate,No,2309,1255.0,125.0,360.0,0.0,Rural,200-500,0-12.5K,0-5K,0
452,0,Graduate,No,3948,1733.0,149.0,360.0,0.0,Rural,200-500,0-12.5K,0-5K,0
453,0,Graduate,No,2483,2466.0,90.0,180.0,0.0,Rural,100-200,0-12.5K,0-5K,1
454,0,Graduate,Yes,7085,0.0,84.0,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,1
455,2,Graduate,No,3859,0.0,96.0,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,1
456,0,Graduate,No,4301,0.0,118.0,360.0,1.0,Urban,200-500,0-12.5K,0-5K,1
457,0,Graduate,No,3708,2569.0,173.0,360.0,1.0,Urban,200-500,0-12.5K,0-5K,0
458,2,Graduate,No,4354,0.0,136.0,360.0,1.0,Rural,200-500,0-12.5K,0-5K,1
459,0,Graduate,No,8334,0.0,160.0,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,0
461,3+,Graduate,No,7740,0.0,128.0,180.0,1.0,Urban,100-200,0-12.5K,0-5K,1
462,0,Graduate,No,3015,2188.0,153.0,360.0,1.0,Rural,200-500,0-12.5K,0-5K,1
464,0,Graduate,No,4166,0.0,98.0,360.0,0.0,Semiurban,200-500,0-12.5K,0-5K,0
465,0,Graduate,No,6000,0.0,140.0,360.0,1.0,Rural,200-500,0-12.5K,0-5K,1
466,3+,Not Graduate,No,2947,1664.0,70.0,180.0,0.0,Urban,100-200,0-12.5K,0-5K,0
469,0,Graduate,No,4333,2451.0,110.0,360.0,1.0,Urban,200-500,0-12.5K,0-5K,0
470,1,Graduate,Yes,3450,2079.0,162.0,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,1
471,1,Not Graduate,No,2653,1500.0,113.0,180.0,0.0,Rural,100-200,0-12.5K,0-5K,0
472,3+,Graduate,No,4691,0.0,100.0,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,1
474,2,Graduate,No,5532,4648.0,162.0,360.0,1.0,Rural,200-500,0-12.5K,0-5K,1
475,2,Graduate,Yes,16525,1014.0,150.0,360.0,1.0,Rural,200-500,12.5K-25K,0-5K,1
476,2,Graduate,No,6700,1750.0,230.0,300.0,1.0,Semiurban,200-500,0-12.5K,0-5K,1
478,1,Graduate,Yes,16667,2250.0,86.0,360.0,1.0,Semiurban,200-500,12.5K-25K,0-5K,1
479,2,Graduate,No,2947,1603.0,146.41,360.0,1.0,Urban,200-500,0-12.5K,0-5K,0
480,0,Not Graduate,No,4350,0.0,154.0,360.0,1.0,Rural,200-500,0-12.5K,0-5K,1
481,3+,Not Graduate,No,3095,0.0,113.0,360.0,1.0,Rural,200-500,0-12.5K,0-5K,1
482,0,Graduate,No,2083,3150.0,128.0,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,1
483,0,Graduate,No,10833,0.0,234.0,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,1
484,2,Graduate,No,8333,0.0,246.0,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,1
485,1,Not Graduate,No,1958,2436.0,131.0,360.0,1.0,Rural,200-500,0-12.5K,0-5K,1
486,2,Graduate,No,3547,0.0,80.0,360.0,0.0,Rural,200-500,0-12.5K,0-5K,0
487,1,Graduate,No,18333,0.0,500.0,360.0,1.0,Urban,200-500,12.5K-25K,0-5K,0
488,2,Graduate,Yes,4583,2083.0,160.0,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,1
489,0,Graduate,No,2435,0.0,75.0,360.0,1.0,Urban,200-500,0-12.5K,0-5K,0
492,0,Not Graduate,No,3691,0.0,110.0,360.0,1.0,Rural,200-500,0-12.5K,0-5K,1
493,0,Not Graduate,Yes,17263,0.0,225.0,360.0,1.0,Semiurban,200-500,12.5K-25K,0-5K,1
494,0,Graduate,No,3597,2157.0,119.0,360.0,0.0,Rural,200-500,0-12.5K,0-5K,0
495,1,Graduate,No,3326,913.0,105.0,84.0,1.0,Semiurban,10-100,0-12.5K,0-5K,1
496,0,Not Graduate,No,2600,1700.0,107.0,360.0,1.0,Rural,200-500,0-12.5K,0-5K,1
498,1,Graduate,Yes,2895,0.0,95.0,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,1
499,0,Graduate,No,6283,4416.0,209.0,360.0,0.0,Rural,200-500,0-12.5K,0-5K,0
500,0,Graduate,No,645,3683.0,113.0,480.0,1.0,Rural,200-500,0-12.5K,0-5K,1
501,0,Graduate,No,3159,0.0,100.0,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,1
502,2,Graduate,No,4865,5624.0,208.0,360.0,1.0,Semiurban,200-500,0-12.5K,5K-10K,1
504,0,Not Graduate,No,3814,1483.0,124.0,300.0,1.0,Semiurban,200-500,0-12.5K,0-5K,1
505,2,Graduate,No,3510,4416.0,243.0,360.0,1.0,Rural,200-500,0-12.5K,0-5K,1
508,0,Graduate,Yes,2479,3013.0,188.0,360.0,1.0,Urban,200-500,0-12.5K,0-5K,1
509,1,Graduate,No,13262,0.0,40.0,360.0,1.0,Urban,200-500,12.5K-25K,0-5K,1
510,0,Not Graduate,No,3598,1287.0,100.0,360.0,1.0,Rural,200-500,0-12.5K,0-5K,0
511,1,Graduate,No,6065,2004.0,250.0,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,1
512,2,Graduate,No,3283,2035.0,148.0,360.0,1.0,Urban,200-500,0-12.5K,0-5K,1
513,0,Graduate,No,2130,6666.0,70.0,180.0,1.0,Semiurban,100-200,0-12.5K,5K-10K,0
514,0,Graduate,No,5815,3666.0,311.0,360.0,1.0,Rural,200-500,0-12.5K,0-5K,0
515,3+,Graduate,No,3466,3428.0,150.0,360.0,1.0,Rural,200-500,0-12.5K,0-5K,1
516,2,Graduate,No,2031,1632.0,113.0,480.0,1.0,Semiurban,200-500,0-12.5K,0-5K,1
517,nan,Not Graduate,No,3074,1800.0,123.0,360.0,0.0,Semiurban,200-500,0-12.5K,0-5K,0
518,0,Graduate,No,4683,1915.0,185.0,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,0
519,0,Not Graduate,No,3400,0.0,95.0,360.0,1.0,Rural,200-500,0-12.5K,0-5K,0
520,2,Not Graduate,No,2192,1742.0,45.0,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,1
521,0,Graduate,No,2500,0.0,55.0,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,1
522,3+,Graduate,Yes,5677,1424.0,100.0,360.0,1.0,Rural,200-500,0-12.5K,0-5K,1
523,2,Graduate,Yes,7948,7166.0,480.0,360.0,1.0,Rural,200-500,0-12.5K,5K-10K,1
524,0,Graduate,No,4680,2087.0,146.41,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,0
525,2,Graduate,Yes,17500,0.0,400.0,360.0,1.0,Rural,200-500,12.5K-25K,0-5K,1
526,0,Graduate,No,3775,0.0,110.0,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,1
527,1,Not Graduate,No,5285,1430.0,161.0,360.0,0.0,Semiurban,200-500,0-12.5K,0-5K,1
528,1,Not Graduate,No,2679,1302.0,94.0,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,1
529,0,Not Graduate,No,6783,0.0,130.0,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,1
531,3+,Graduate,No,4281,0.0,100.0,360.0,1.0,Urban,200-500,0-12.5K,0-5K,1
532,2,Graduate,No,3588,0.0,110.0,360.0,0.0,Rural,200-500,0-12.5K,0-5K,0
534,0,Not Graduate,Yes,18165,0.0,125.0,360.0,1.0,Urban,200-500,12.5K-25K,0-5K,1
536,0,Graduate,No,6133,3906.0,324.0,360.0,1.0,Urban,200-500,0-12.5K,0-5K,1
537,2,Graduate,No,3617,0.0,107.0,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,1
538,0,Not Graduate,No,2917,536.0,66.0,360.0,1.0,Rural,200-500,0-12.5K,0-5K,0
539,3+,Graduate,No,6417,0.0,157.0,180.0,1.0,Rural,100-200,0-12.5K,0-5K,1
540,1,Graduate,No,4608,2845.0,140.0,180.0,1.0,Semiurban,100-200,0-12.5K,0-5K,1
541,0,Graduate,No,2138,0.0,99.0,360.0,0.0,Semiurban,200-500,0-12.5K,0-5K,0
543,1,Not Graduate,No,2239,2524.0,128.0,360.0,1.0,Urban,200-500,0-12.5K,0-5K,1
545,0,Graduate,No,2768,1950.0,155.0,360.0,1.0,Rural,200-500,0-12.5K,0-5K,1
546,0,Not Graduate,No,3358,0.0,80.0,36.0,1.0,Semiurban,10-100,0-12.5K,0-5K,0
547,0,Graduate,No,2526,1783.0,145.0,360.0,1.0,Rural,200-500,0-12.5K,0-5K,1
548,0,Graduate,No,5000,0.0,103.0,360.0,0.0,Semiurban,200-500,0-12.5K,0-5K,0
549,0,Graduate,No,2785,2016.0,110.0,360.0,1.0,Rural,200-500,0-12.5K,0-5K,1
550,2,Graduate,Yes,6633,0.0,146.41,360.0,0.0,Rural,200-500,0-12.5K,0-5K,0
551,1,Not Graduate,No,2492,2375.0,146.41,360.0,1.0,Rural,200-500,0-12.5K,0-5K,1
552,1,Graduate,No,3333,3250.0,158.0,360.0,1.0,Urban,200-500,0-12.5K,0-5K,1
553,0,Not Graduate,No,2454,2333.0,181.0,360.0,0.0,Urban,200-500,0-12.5K,0-5K,0
554,0,Graduate,No,3593,4266.0,132.0,180.0,0.0,Rural,100-200,0-12.5K,0-5K,0
555,1,Graduate,No,5468,1032.0,26.0,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,1
557,3+,Graduate,Yes,10139,0.0,260.0,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,1
558,0,Graduate,No,3887,2669.0,162.0,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,1
559,0,Graduate,No,4180,2306.0,182.0,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,1
560,2,Not Graduate,No,3675,242.0,108.0,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,1
561,1,Graduate,Yes,19484,0.0,600.0,360.0,1.0,Semiurban,200-500,12.5K-25K,0-5K,1
562,0,Graduate,No,5923,2054.0,211.0,360.0,1.0,Rural,200-500,0-12.5K,0-5K,1
563,0,Not Graduate,Yes,5800,0.0,132.0,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,1
564,2,Graduate,No,8799,0.0,258.0,360.0,0.0,Urban,200-500,0-12.5K,0-5K,0
566,0,Graduate,No,3333,0.0,70.0,360.0,1.0,Urban,200-500,0-12.5K,0-5K,1
567,3+,Graduate,No,3400,2500.0,123.0,360.0,0.0,Rural,200-500,0-12.5K,0-5K,0
568,0,Graduate,No,2378,0.0,9.0,360.0,1.0,Urban,200-500,0-12.5K,0-5K,0
569,0,Graduate,No,3166,2064.0,104.0,360.0,0.0,Urban,200-500,0-12.5K,0-5K,0
570,1,Graduate,No,3417,1750.0,186.0,360.0,1.0,Urban,200-500,0-12.5K,0-5K,1
571,nan,Graduate,No,5116,1451.0,165.0,360.0,0.0,Urban,200-500,0-12.5K,0-5K,0
572,2,Graduate,No,16666,0.0,275.0,360.0,1.0,Urban,200-500,12.5K-25K,0-5K,1
573,2,Not Graduate,No,6125,1625.0,187.0,480.0,1.0,Semiurban,200-500,0-12.5K,0-5K,0
574,3+,Graduate,No,6406,0.0,150.0,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,0
575,2,Graduate,No,3159,461.0,108.0,84.0,1.0,Urban,10-100,0-12.5K,0-5K,1
577,0,Graduate,No,3229,2739.0,110.0,360.0,1.0,Urban,200-500,0-12.5K,0-5K,1
578,1,Graduate,No,1782,2232.0,107.0,360.0,1.0,Rural,200-500,0-12.5K,0-5K,1
580,2,Graduate,No,6540,0.0,205.0,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,1
581,0,Graduate,No,1836,33837.0,90.0,360.0,1.0,Urban,200-500,0-12.5K,10K+,0
582,0,Graduate,No,3166,0.0,36.0,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,1
584,1,Graduate,No,2787,1917.0,146.0,360.0,0.0,Rural,200-500,0-12.5K,0-5K,0
585,1,Graduate,No,4283,3000.0,172.0,84.0,1.0,Rural,10-100,0-12.5K,0-5K,0
586,0,Graduate,No,2297,1522.0,104.0,360.0,1.0,Urban,200-500,0-12.5K,0-5K,1
587,0,Not Graduate,No,2165,0.0,70.0,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,1
589,2,Graduate,Yes,2726,0.0,106.0,360.0,0.0,Semiurban,200-500,0-12.5K,0-5K,0
590,0,Graduate,No,3000,3416.0,56.0,180.0,1.0,Semiurban,100-200,0-12.5K,0-5K,1
591,2,Graduate,Yes,6000,0.0,205.0,240.0,1.0,Semiurban,200-500,0-12.5K,0-5K,0
593,0,Graduate,No,3859,3300.0,142.0,180.0,1.0,Rural,100-200,0-12.5K,0-5K,1
594,0,Graduate,Yes,16120,0.0,260.0,360.0,1.0,Urban,200-500,12.5K-25K,0-5K,1
595,0,Not Graduate,No,3833,0.0,110.0,360.0,1.0,Rural,200-500,0-12.5K,0-5K,1
596,2,Not Graduate,Yes,6383,1000.0,187.0,360.0,1.0,Rural,200-500,0-12.5K,0-5K,0
597,nan,Graduate,No,2987,0.0,88.0,360.0,0.0,Semiurban,200-500,0-12.5K,0-5K,0
598,0,Graduate,Yes,9963,0.0,180.0,360.0,1.0,Rural,200-500,0-12.5K,0-5K,1
599,2,Graduate,No,5780,0.0,192.0,360.0,1.0,Urban,200-500,0-12.5K,0-5K,1
602,3+,Graduate,No,5703,0.0,128.0,360.0,1.0,Urban,200-500,0-12.5K,0-5K,1
603,0,Graduate,No,3676,4301.0,172.0,360.0,1.0,Rural,200-500,0-12.5K,0-5K,1
604,1,Graduate,No,12000,0.0,496.0,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,1
605,0,Not Graduate,No,2400,3800.0,146.41,180.0,1.0,Urban,100-200,0-12.5K,0-5K,0
606,1,Graduate,No,3400,2500.0,173.0,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,1
607,2,Not Graduate,No,3987,1411.0,157.0,360.0,1.0,Rural,200-500,0-12.5K,0-5K,1
608,0,Graduate,No,3232,1950.0,108.0,360.0,1.0,Rural,200-500,0-12.5K,0-5K,1
609,0,Graduate,No,2900,0.0,71.0,360.0,1.0,Rural,200-500,0-12.5K,0-5K,1
610,3+,Graduate,No,4106,0.0,40.0,180.0,1.0,Rural,100-200,0-12.5K,0-5K,1
611,1,Graduate,No,8072,240.0,253.0,360.0,1.0,Urban,200-500,0-12.5K,0-5K,1
612,2,Graduate,No,7583,0.0,187.0,360.0,1.0,Urban,200-500,0-12.5K,0-5K,1
613,0,Graduate,Yes,4583,0.0,133.0,360.0,0.0,Semiurban,200-500,0-12.5K,0-5K,0
