,review,negative-score,positive-score,compound-pos,compound-neg
0,phone sturdy waterproof,0.08,0.92,0.2311120129292155,0.02065150599499689
1,received headset good time happy,0.01,0.99,0.24765405778443095,0.002581980290884986
2,good quality bargain bought bought cheapy big lots sounded awful people end couldnt hear,0.81,0.19,0.048998862520218615,0.2047119643069919
3,avoid one,0.77,0.23,0.059281303943399984,0.1949967074644855
4,good item low price,0.15,0.85,0.21436709567779696,0.038700818724480265
5,good case,0.08,0.92,0.2311120129292155,0.02065150599499689
6,warranty problems reoccure bottom line put money somewhere else cingular support,0.93,0.07,0.018070970931389797,0.2334878462028636
7,dont buy,0.99,0.01,0.002581980290884986,0.24765405778443095
8,pair headphones worst ever soundwise,0.96,0.04,0.010327404809650345,0.24059016976167408
9,love phone,0.02,0.98,0.24530375145507433,0.0051639089432829865
10,im quite satisfied purchase,0.51,0.49,0.12551689049660086,0.13055439192154708
11,even take self portraits outside exterior display cool,0.53,0.47,0.12046966192824268,0.13558180231483624
12,holster arrived match photo ad,0.66,0.34,0.08745129029846102,0.16798951556005373
13,would recommend item anyone,0.07,0.93,0.2334878462028636,0.018070970931389797
14,tied charger conversations lasting 45 minutes major problems,0.68,0.32,0.08234305846557943,0.1729300474888714
15,terrible car accept cassette,0.94,0.06,0.015490074687382338,0.23585950502781214
16,good stuff price,0.04,0.96,0.24059016976167408,0.010327404809650345
17,logitech bluetooth headset 10,0.35,0.65,0.1655144698046142,0.09000284707386697
18,comfortable hand,0.07,0.93,0.2334878462028636,0.018070970931389797
19,replacement died weeks,0.67,0.33,0.08489801116108947,0.17046138850323544
20,cool phone,0.4,0.6,0.15309310892394865,0.10273309938750283
21,highly recommend encourage people give try,0.08,0.92,0.2311120129292155,0.02065150599499689
22,iam pleased purchase,0.38,0.62,0.15807071142022902,0.09764669773479731
23,uncomfortable sound quality quite poor compared phone razr previous wired headset plugged lg,0.49,0.51,0.13055439192154708,0.12551689049660086
24,also happy price,0.01,0.99,0.24765405778443095,0.002581980290884986
25,purcashed car charger work,0.86,0.14,0.036124251091907554,0.21677121191847112
26,many people complained found headsets microphone weak,0.66,0.34,0.08745129029846102,0.16798951556005373
27,exchanged phone even problem,0.71,0.29,0.074668649491408,0.18031633362783997
28,also area unit broke im fond magnetic strap,0.96,0.04,0.010327404809650345,0.24059016976167408
29,like loud buzzing override conversations phone,0.85,0.15,0.038700818724480265,0.21436709567779696
30,ordered product first unhappy immediately,0.87,0.13,0.03354696286469182,0.21917139063104465
31,item match picture,0.79,0.21,0.054142236171875906,0.19986170422261224
32,much less jawbone going replace,0.38,0.62,0.15807071142022902,0.09764669773479731
33,instruction manual lacking,0.61,0.39,0.10019088044825505,0.15558339158463552
34,steer clear product go genuine palm replacementr pens come threepack,0.3,0.7,0.1778575604636294,0.0772283284276542
35,great phone,0.0,1.0,0.25,0.0
36,purchased within 2 days longer working,0.65,0.35,0.09000284707386697,0.1655144698046142
37,phone year tell great,0.02,0.98,0.24530375145507433,0.0051639089432829865
38,handsfree part works fine car tries download address book treo reboots overall still rate device high,0.08,0.92,0.2311120129292155,0.02065150599499689
39,buyer beware could flush money right toilet,1.0,0.0,0.0,0.25
40,great phone,0.0,1.0,0.25,0.0
41,works,0.0,1.0,0.25,0.0
42,doesnt last long,0.92,0.08,0.02065150599499689,0.2311120129292155
43,plug wrong size,0.88,0.12,0.030969005213075024,0.22156759695471276
44,tried 2 units failed within 2 months pros,0.9,0.1,0.02581128664598337,0.22634795467253557
45,piece trash,0.94,0.06,0.015490074687382338,0.23585950502781214
46,ive nearly 2 years worked great,0.08,0.92,0.2311120129292155,0.02065150599499689
47,love phone handy lot features,0.01,0.99,0.24765405778443095,0.002581980290884986
48,loud enough doesnt turn like,0.89,0.11,0.028390429373988602,0.22395979636443428
49,however girl complain time phone doesnt wake like normal phone,0.63,0.37,0.09510059916726982,0.16055502587526638
50,great charger,0.01,0.99,0.24765405778443095,0.002581980290884986
51,satisfied cell phone day one,0.36,0.64,0.16303629267022204,0.0925526328513443
52,headset fulfills requirements happy purchase,0.06,0.94,0.23585950502781214,0.015490074687382338
53,worst ever,0.97,0.03,0.007745734323870593,0.242949111751081
54,defeats purpose bluetooth headset,0.22,0.78,0.19743102922693492,0.056712333534129654
55,definitely bargain,0.63,0.37,0.09510059916726982,0.16055502587526638
56,sprint charges service,0.7,0.3,0.0772283284276542,0.1778575604636294
57,best phone market,0.02,0.98,0.24530375145507433,0.0051639089432829865
58,23 bars cell phone home cant hear anything,0.81,0.19,0.048998862520218615,0.2047119643069919
59,great product price,0.0,1.0,0.25,0.0
60,cool,0.51,0.49,0.12551689049660086,0.13055439192154708
61,wear glasses fits fine,0.07,0.93,0.2334878462028636,0.018070970931389797
62,used talk 1 1 12 hours battery would literally drained dying,0.96,0.04,0.010327404809650345,0.24059016976167408
63,ear loop needed tiny sound great,0.02,0.98,0.24530375145507433,0.0051639089432829865
64,take picture battery drops bar starts beeping letting know dieing,0.86,0.14,0.036124251091907554,0.21677121191847112
65,uncomfortable ear dont use lg vx9900 env,0.91,0.09,0.023231628384145078,0.22873203803025322
66,horrible switch 3 times,0.93,0.07,0.018070970931389797,0.2334878462028636
67,dont make mistake,0.97,0.03,0.007745734323870593,0.242949111751081
68,good product well made,0.01,0.99,0.24765405778443095,0.002581980290884986
69,awesome device,0.11,0.89,0.22395979636443428,0.028390429373988602
70,earpiece large heavy keeps falling ear,0.53,0.47,0.12046966192824268,0.13558180231483624
71,bethe audio quality poor,0.97,0.03,0.007745734323870593,0.242949111751081
72,everything,0.2,0.8,0.20228869496966945,0.051571062312939675
73,unreliable service tmobile,0.81,0.19,0.048998862520218615,0.2047119643069919
74,well made easy access phone handy detachable belt clip,0.13,0.87,0.21917139063104465,0.03354696286469182
75,even bmw 3 series fairly quiet trouble hearing person saying,0.78,0.22,0.056712333534129654,0.19743102922693492
76,really good product,0.05,0.95,0.23822695692514875,0.01290886879311069
77,yet run new battery two bars thats three days without charging,0.69,0.31,0.07978648117910847,0.1753954516625654
78,received orders well within shipping timeframe everything good working order overall excited source,0.02,0.98,0.24530375145507433,0.0051639089432829865
79,excellent product satisfied purchase,0.07,0.93,0.2334878462028636,0.018070970931389797
80,cheap plastic creaks like old wooden floor,0.82,0.18,0.04642568745829288,0.207131475396291
81,bought mainly charger broke soon purchasing,0.93,0.07,0.018070970931389797,0.2334878462028636
82,plantronics bluetooth excelent buy,0.73,0.27,0.06954491092861292,0.18522371348725747
83,seems completely secure holding belt keeping iphone inside,0.64,0.36,0.0925526328513443,0.16303629267022204
84,works like charm works advertised,0.01,0.99,0.24765405778443095,0.002581980290884986
85,theres horrible tick sound background calls never experienced,0.88,0.12,0.030969005213075024,0.22156759695471276
86,great reception time,0.04,0.96,0.24059016976167408,0.010327404809650345
87,problems wit hit dropping signal,0.45,0.55,0.14059876159761814,0.11541307379308478
88,trying make call exercise frustration,0.79,0.21,0.054142236171875906,0.19986170422261224
89,tmobile best customer service anywhere,0.33,0.67,0.17046138850323544,0.08489801116108947
90,screen get smudged easily touches ear face,0.68,0.32,0.08234305846557943,0.1729300474888714
91,stupid,0.71,0.29,0.074668649491408,0.18031633362783997
92,excellent hands free tool,0.03,0.97,0.242949111751081,0.007745734323870593
93,impressed would recommend item anyone,0.2,0.8,0.20228869496966945,0.051571062312939675
94,one favorite purchases ever,0.86,0.14,0.036124251091907554,0.21677121191847112
95,pleased headset,0.03,0.97,0.242949111751081,0.007745734323870593
96,didnt want clip going top ear causing discomfort,0.93,0.07,0.018070970931389797,0.2334878462028636
97,perhaps phone defective people cannot hear use,0.8,0.2,0.051571062312939675,0.20228869496966945
98,doesnt hold charge,0.97,0.03,0.007745734323870593,0.242949111751081
99,got phone around end may im completely unhappy,0.59,0.41,0.10527330682224757,0.15059990626640524
100,saggy floppy piece junk,0.99,0.01,0.002581980290884986,0.24765405778443095
101,best headset used,0.04,0.96,0.24059016976167408,0.010327404809650345
102,beware,0.61,0.39,0.10019088044825505,0.15558339158463552
103,finds cell phone right away enter car,0.61,0.39,0.10019088044825505,0.15558339158463552
104,design might ergonomic theory could stand ear,0.97,0.03,0.007745734323870593,0.242949111751081
105,item received counterfeit,0.61,0.39,0.10019088044825505,0.15558339158463552
106,im glad found product amazon hard find wasnt high priced,0.33,0.67,0.17046138850323544,0.08489801116108947
107,however keypads tinny sometimes reach wrong buttons,0.91,0.09,0.023231628384145078,0.22873203803025322
108,keep getting better better third one ive numerous palms,0.63,0.37,0.09510059916726982,0.16055502587526638
109,looking good quality motorola headset keep looking isnt,0.1,0.9,0.22634795467253557,0.02581128664598337
110,yes shiny front side love,0.39,0.61,0.15558339158463552,0.10019088044825505
111,like design look jabra behing ear headsets 5020 pretty comfortible wear 24 hours day without pain ear,0.41,0.59,0.15059990626640524,0.10527330682224757
112,earlier review noted plug charger nothing happens,0.94,0.06,0.015490074687382338,0.23585950502781214
113,wind completely useless,0.96,0.04,0.010327404809650345,0.24059016976167408
114,ive missed numerous calls reason,0.82,0.18,0.04642568745829288,0.207131475396291
115,drain player may also potentially fry,0.85,0.15,0.038700818724480265,0.21436709567779696
116,always used corded headsets freedom wireless helpful,0.69,0.31,0.07978648117910847,0.1753954516625654
117,bt headset disapoinment,0.37,0.63,0.16055502587526638,0.09510059916726982
118,would recommend,0.02,0.98,0.24530375145507433,0.0051639089432829865
119,know made wise decision,0.71,0.29,0.074668649491408,0.18031633362783997
120,fit,0.92,0.08,0.02065150599499689,0.2311120129292155
121,love product,0.01,0.99,0.24765405778443095,0.002581980290884986
122,good item worked started problems auto reverse tape player,0.29,0.71,0.18031633362783997,0.074668649491408
123,bad fit way big,0.99,0.01,0.002581980290884986,0.24765405778443095
124,also new problem,0.73,0.27,0.06954491092861292,0.18522371348725747
125,warning stay away,0.95,0.05,0.01290886879311069,0.23822695692514875
126,would recommend purchasing jabra jx10 series 2 works flawlessly moto q go figure,0.03,0.97,0.242949111751081,0.007745734323870593
127,excellent starter wireless headset,0.01,0.99,0.24765405778443095,0.002581980290884986
128,pairing iphone could happier far,0.74,0.26,0.06698095059175603,0.18767224116032172
129,worst phone ever,0.97,0.03,0.007745734323870593,0.242949111751081
130,worst customer service ever,0.98,0.02,0.0051639089432829865,0.24530375145507433
131,happy far,0.02,0.98,0.24530375145507433,0.0051639089432829865
132,poor talk time performance,0.99,0.01,0.002581980290884986,0.24765405778443095
133,fits securely ear hook even need used sound better directed ear canal,0.44,0.56,0.14310321061860654,0.11288138573368
134,waste 13 bucks,0.97,0.03,0.007745734323870593,0.242949111751081
135,also makes easier hold,0.73,0.27,0.06954491092861292,0.18522371348725747
136,screen size big key pad lit well enough camera quality excellent camera phone,0.12,0.88,0.22156759695471276,0.030969005213075024
137,none tones acceptable,0.91,0.09,0.023231628384145078,0.22873203803025322
138,give wirefly 1 star contact cingularatt inform practice,0.65,0.35,0.09000284707386697,0.1655144698046142
139,best ive found far ive tried 2 bluetooths one best quality listener well ease using,0.01,0.99,0.24765405778443095,0.002581980290884986
140,cant get software work computer,0.87,0.13,0.03354696286469182,0.21917139063104465
141,customer service terrible,0.98,0.02,0.0051639089432829865,0.24530375145507433
142,joy use,0.69,0.31,0.07978648117910847,0.1753954516625654
143,need least 3 mins get phone book time first turn phone battery life short,0.81,0.19,0.048998862520218615,0.2047119643069919
144,good audio quality,0.09,0.91,0.22873203803025322,0.023231628384145078
145,connected wifes bluetooth motorola hs850 phone worked like charm whether phone pocket case,0.19,0.81,0.2047119643069919,0.048998862520218615
146,piece crap,0.94,0.06,0.015490074687382338,0.23585950502781214
147,got aluminum case new palm vx worked really wellit protected handheld perfectly far,0.14,0.86,0.21677121191847112,0.036124251091907554
148,phone got year old slowly breaking despite much care part,0.56,0.44,0.11288138573368,0.14310321061860654
149,oh charger seems work fine,0.68,0.32,0.08234305846557943,0.1729300474888714
150,phone falls easily,0.64,0.36,0.0925526328513443,0.16303629267022204
151,displeased,0.61,0.39,0.10019088044825505,0.15558339158463552
152,used several phone two years one best,0.23,0.77,0.1949967074644855,0.059281303943399984
153,happy item,0.03,0.97,0.242949111751081,0.007745734323870593
154,last forever overly expensive replace easy operate sound much better others tried,0.21,0.79,0.19986170422261224,0.054142236171875906
155,worst piece crap ever along verizon customer service,0.98,0.02,0.0051639089432829865,0.24530375145507433
156,fabulous,0.61,0.39,0.10019088044825505,0.15558339158463552
157,overall psyched phone appointments contacts gets great reception,0.03,0.97,0.242949111751081,0.007745734323870593
158,disappointment,0.97,0.03,0.007745734323870593,0.242949111751081
159,small dont even realize getting used,0.84,0.16,0.041276614663912144,0.21195907710392628
160,father v265 battery dying,0.88,0.12,0.030969005213075024,0.22156759695471276
161,great item,0.0,1.0,0.25,0.0
162,might gotten defect would risk buying built quality alone,0.57,0.43,0.11034749723188901,0.1456049136181914
163,im happy purchase good quality low price,0.04,0.96,0.24059016976167408,0.010327404809650345
164,cheap hey works pleasantly suprised given low cost item,0.47,0.53,0.13558180231483624,0.12046966192824268
165,average phone bad battery life operates weak network,0.95,0.05,0.01290886879311069,0.23822695692514875
166,phone crashed completely get replaced,0.7,0.3,0.0772283284276542,0.1778575604636294
167,sound quality great,0.0,1.0,0.25,0.0
168,works fine,0.01,0.99,0.24765405778443095,0.002581980290884986
169,wouldnt recommend buying product,0.25,0.75,0.1901172751573434,0.06441566264008308
170,worked well,0.12,0.88,0.22156759695471276,0.030969005213075024
171,two seperated mere 5 ft started notice excessive static garbled sound headset,0.31,0.69,0.1753954516625654,0.07978648117910847
172,put latest os v1 15g likes slow crawl lock every,0.76,0.24,0.06184909705487242,0.1925587767356912
173,much disappointed company,0.95,0.05,0.01290886879311069,0.23822695692514875
174,dont buy product fails,0.97,0.03,0.007745734323870593,0.242949111751081
175,buy different phone,0.85,0.15,0.038700818724480265,0.21436709567779696
176,looking headset long time ive got couldnt happier,0.3,0.7,0.1778575604636294,0.0772283284276542
177,could get strong enough signal,0.95,0.05,0.01290886879311069,0.23822695692514875
178,volume ringer real good choices loud,0.3,0.7,0.1778575604636294,0.0772283284276542
179,save money ive item 11 months,0.88,0.12,0.030969005213075024,0.22156759695471276
180,oh forgot also mention weird color effect phone,0.28,0.72,0.18277173119013618,0.07210749380015381
181,phones working fine,0.2,0.8,0.20228869496966945,0.051571062312939675
182,phone gets extremely hot,0.29,0.71,0.18031633362783997,0.074668649491408
183,light weight hardly notice,0.61,0.39,0.10019088044825505,0.15558339158463552
184,ive tried several different earpieces cell phone jabra one first one ive found fits ear comfortably,0.47,0.53,0.13558180231483624,0.12046966192824268
185,didnt charge,0.95,0.05,0.01290886879311069,0.23822695692514875
186,far worked like charm,0.17,0.83,0.2095471917241364,0.04385158788848748
187,would advise purchase item never worked well,0.57,0.43,0.11034749723188901,0.1456049136181914
188,love device,0.02,0.98,0.24530375145507433,0.0051639089432829865
189,opens battery connection broken device turned,0.79,0.21,0.054142236171875906,0.19986170422261224
190,bad pay month service,0.89,0.11,0.028390429373988602,0.22395979636443428
191,first reception sucks never 2 bars ever,0.99,0.01,0.002581980290884986,0.24765405778443095
192,anyone near hear part conversation,0.84,0.16,0.041276614663912144,0.21195907710392628
193,treo tmobile refused replace forced buy another phone without kind upgrade discount,0.53,0.47,0.12046966192824268,0.13558180231483624
194,also phone doesnt seem accept anything except cbr mp3s preferably ripped windows media player,0.8,0.2,0.051571062312939675,0.20228869496966945
195,seller shipped quickly much cheaper competitors,0.18,0.82,0.207131475396291,0.04642568745829288
196,nano stated son dissapointed,0.76,0.24,0.06184909705487242,0.1925587767356912
197,cannot make calls certain places,0.91,0.09,0.023231628384145078,0.22873203803025322
198,mic great,0.01,0.99,0.24765405778443095,0.002581980290884986
199,audio quality poor poor,0.99,0.01,0.002581980290884986,0.24765405778443095
200,disappointed,0.99,0.01,0.002581980290884986,0.24765405778443095
201,buttons small,0.22,0.78,0.19743102922693492,0.056712333534129654
202,big waste time,0.97,0.03,0.007745734323870593,0.242949111751081
203,design good 4,0.16,0.84,0.21195907710392628,0.041276614663912144
204,would highly recommend product,0.02,0.98,0.24530375145507433,0.0051639089432829865
205,cumbersome design,0.83,0.17,0.04385158788848748,0.2095471917241364
206,camera color balance awful,0.63,0.37,0.09510059916726982,0.16055502587526638
207,disappointed,0.99,0.01,0.002581980290884986,0.24765405778443095
208,choice headset years great sound good volume good noise cancellation,0.0,1.0,0.25,0.0
209,impressed going original battery extended battery,0.88,0.12,0.030969005213075024,0.22156759695471276
210,bt50 battery junk,0.97,0.03,0.007745734323870593,0.242949111751081
211,nice headphones price work great,0.01,0.99,0.24765405778443095,0.002581980290884986
212,nice design quality,0.08,0.92,0.2311120129292155,0.02065150599499689
213,absolutel junk,0.95,0.05,0.01290886879311069,0.23822695692514875
214,earbud piece breaks easily,0.92,0.08,0.02065150599499689,0.2311120129292155
215,someone shouldve invented sooner,0.61,0.39,0.10019088044825505,0.15558339158463552
216,around years carries highest quality antiglare screen protector found date,0.5,0.5,0.12803687993289598,0.12803687993289598
217,commercials misleading,0.61,0.39,0.10019088044825505,0.15558339158463552
218,battery life also great,0.07,0.93,0.2334878462028636,0.018070970931389797
219,sweetest phone,0.35,0.65,0.1655144698046142,0.09000284707386697
220,defective crap,0.82,0.18,0.04642568745829288,0.207131475396291
221,worthless product,0.67,0.33,0.08489801116108947,0.17046138850323544
222,waste,0.97,0.03,0.007745734323870593,0.242949111751081
223,excellent product price,0.01,0.99,0.24765405778443095,0.002581980290884986
224,go store bought new nokia phone working great,0.28,0.72,0.18277173119013618,0.07210749380015381
225,love cable allows connect miniusb device pc,0.18,0.82,0.207131475396291,0.04642568745829288
226,hoping,0.72,0.28,0.07210749380015381,0.18277173119013618
227,think good investment,0.07,0.93,0.2334878462028636,0.018070970931389797
228,hear im driving car usually dont even put loudest setting,0.84,0.16,0.041276614663912144,0.21195907710392628
229,good product good seller,0.01,0.99,0.24765405778443095,0.002581980290884986
230,product excellent works better verizon one boy cheaper,0.0,1.0,0.25,0.0
231,happy,0.01,0.99,0.24765405778443095,0.002581980290884986
232,looks nice,0.11,0.89,0.22395979636443428,0.028390429373988602
233,design odd ear clip comfortable,0.57,0.43,0.11034749723188901,0.1456049136181914
234,made case small difficult install,0.53,0.47,0.12046966192824268,0.13558180231483624
235,bluetooth range good days ago left phone trunk got call carried conversation without hitch,0.14,0.86,0.21677121191847112,0.036124251091907554
236,appears actually outperform original battery china came v325i,0.68,0.32,0.08234305846557943,0.1729300474888714
237,aggravating,0.61,0.39,0.10019088044825505,0.15558339158463552
238,especially love long battery life,0.09,0.91,0.22873203803025322,0.023231628384145078
239,nice headset priced right,0.03,0.97,0.242949111751081,0.007745734323870593
240,cheap feel look cheap,0.57,0.43,0.11034749723188901,0.1456049136181914
241,design flaw,0.77,0.23,0.059281303943399984,0.1949967074644855
242,didnt think instructions provided helpful,0.75,0.25,0.06441566264008308,0.1901172751573434
243,delivery time,0.88,0.12,0.030969005213075024,0.22156759695471276
244,software great job could also make ringtones form existing cds without internet connection,0.17,0.83,0.2095471917241364,0.04385158788848748
245,thats huge design flaw unless im using correctly dont think case,0.85,0.15,0.038700818724480265,0.21436709567779696
246,comes strong light use light camera shots even flash sos signals seriously,0.68,0.32,0.08234305846557943,0.1729300474888714
247,found product easy set use,0.2,0.8,0.20228869496966945,0.051571062312939675
248,waste money,1.0,0.0,0.0,0.25
249,feels comfortable headsets wear glasses gets way sometimes,0.24,0.76,0.1925587767356912,0.06184909705487242
250,works good,0.0,1.0,0.25,0.0
251,igo chargers tips really great,0.06,0.94,0.23585950502781214,0.015490074687382338
252,howeverthe riingtones best neither games,0.19,0.81,0.2047119643069919,0.048998862520218615
253,impressed headset plantronics,0.69,0.31,0.07978648117910847,0.1753954516625654
254,better new,0.55,0.45,0.11541307379308478,0.14059876159761814
255,item arrived quickly works great metro pcs samsung schr450 slider phone sony premium sound ear plugs,0.0,1.0,0.25,0.0
256,take battery phone put back together restart,0.89,0.11,0.028390429373988602,0.22395979636443428
257,battery life still long enough motorola razor v3i,0.84,0.16,0.041276614663912144,0.21195907710392628
258,going first negatively review product,0.94,0.06,0.015490074687382338,0.23585950502781214
259,color even prettier thought would graphics incredibly sharp,0.3,0.7,0.1778575604636294,0.0772283284276542
260,attractive appears good quality,0.02,0.98,0.24530375145507433,0.0051639089432829865
261,reversible plug works great,0.0,1.0,0.25,0.0
262,comfortable ear,0.15,0.85,0.21436709567779696,0.038700818724480265
263,real improvement,0.64,0.36,0.0925526328513443,0.16303629267022204
264,found product waaay big,0.52,0.48,0.12299446921681581,0.13306938109275573
265,sound clear people talk amazed quality,0.23,0.77,0.1949967074644855,0.059281303943399984
266,dont waste money,1.0,0.0,0.0,0.25
267,find inexcusable probably returning phone perhaps changing carriers,0.66,0.34,0.08745129029846102,0.16798951556005373
268,additional ear gels provided instructions whatsoever,0.58,0.42,0.10781145521631681,0.14810382670979635
269,battery holding well,0.08,0.92,0.2311120129292155,0.02065150599499689
270,needless say wasted money,0.79,0.21,0.054142236171875906,0.19986170422261224
271,theres really nothing bad say headset,0.52,0.48,0.12299446921681581,0.13306938109275573
272,much hype phone assumed best mistake,0.08,0.92,0.2311120129292155,0.02065150599499689
273,simply best bluetooth headset sound quality,0.04,0.96,0.24059016976167408,0.010327404809650345
274,impressed price cases,0.18,0.82,0.207131475396291,0.04642568745829288
275,lot websites rating good phone,0.03,0.97,0.242949111751081,0.007745734323870593
276,kind embarrassing use looks mostly embarrassing childlike company,0.91,0.09,0.023231628384145078,0.22873203803025322
277,really good far probably best bt headset ever,0.03,0.97,0.242949111751081,0.007745734323870593
278,get better reception clarity phone ive,0.31,0.69,0.1753954516625654,0.07978648117910847
279,case great works fine 680,0.0,1.0,0.25,0.0
280,phone works great,0.0,1.0,0.25,0.0
281,dont waste money,1.0,0.0,0.0,0.25
282,work,0.99,0.01,0.002581980290884986,0.24765405778443095
283,buttons bad,0.96,0.04,0.010327404809650345,0.24059016976167408
284,love bluetooth,0.02,0.98,0.24530375145507433,0.0051639089432829865
285,excellent service,0.01,0.99,0.24765405778443095,0.002581980290884986
286,particular model would work motorola q smartphone,0.79,0.21,0.054142236171875906,0.19986170422261224
287,yet plantronincs continues use flawed charger design,0.72,0.28,0.07210749380015381,0.18277173119013618
288,warning buy,0.88,0.12,0.030969005213075024,0.22156759695471276
289,excellent phone,0.0,1.0,0.25,0.0
290,simply want small flip phone look elsewhere extra bells whistles mediocre,0.41,0.59,0.15059990626640524,0.10527330682224757
291,setup went smoothly,0.67,0.33,0.08489801116108947,0.17046138850323544
292,product high quality chinese crap,0.76,0.24,0.06184909705487242,0.1925587767356912
293,ordered sony ericsson w810i think worked thats first used,0.74,0.26,0.06698095059175603,0.18767224116032172
294,another note phones appearance really looks rather bland especially black model,0.55,0.45,0.11541307379308478,0.14059876159761814
295,great product sure beats using fingers,0.02,0.98,0.24530375145507433,0.0051639089432829865
296,gosh best phone ever,0.08,0.92,0.2311120129292155,0.02065150599499689
297,simple lightweight great fit,0.05,0.95,0.23822695692514875,0.01290886879311069
298,light easy use clear reception transmission,0.04,0.96,0.24059016976167408,0.010327404809650345
299,continue pairing periodically since somehow kept dropping,0.52,0.48,0.12299446921681581,0.13306938109275573
