,Unnamed: 0,review,negative-score,positive-score,label
0,0,phone sturdy waterproof,0.08,0.92,Positive
1,1,received headset good time happy,0.01,0.99,Positive
2,2,good quality bargain bought bought cheapy big lots sounded awful people end couldnt hear,0.81,0.19,Negative
3,3,avoid one,0.77,0.23,Negative
4,4,good item low price,0.15,0.85,Positive
5,5,good case,0.08,0.92,Positive
6,6,warranty problems reoccure bottom line put money somewhere else cingular support,0.93,0.07,Negative
7,7,dont buy,0.99,0.01,Negative
8,8,pair headphones worst ever soundwise,0.96,0.04,Negative
9,9,love phone,0.02,0.98,Positive
10,10,im quite satisfied purchase,0.51,0.49,Negative
11,11,even take self portraits outside exterior display cool,0.53,0.47,Negative
12,12,holster arrived match photo ad,0.66,0.34,Negative
13,13,would recommend item anyone,0.07,0.93,Positive
14,14,tied charger conversations lasting 45 minutes major problems,0.68,0.32,Negative
15,15,terrible car accept cassette,0.94,0.06,Negative
16,16,good stuff price,0.04,0.96,Positive
17,17,logitech bluetooth headset 10,0.35,0.65,Positive
18,18,comfortable hand,0.07,0.93,Positive
19,19,replacement died weeks,0.67,0.33,Negative
20,20,cool phone,0.4,0.6,Positive
21,21,highly recommend encourage people give try,0.08,0.92,Positive
22,22,iam pleased purchase,0.38,0.62,Positive
23,23,uncomfortable sound quality quite poor compared phone razr previous wired headset plugged lg,0.49,0.51,Positive
24,24,also happy price,0.01,0.99,Positive
25,25,purcashed car charger work,0.86,0.14,Negative
26,26,many people complained found headsets microphone weak,0.66,0.34,Negative
27,27,exchanged phone even problem,0.71,0.29,Negative
28,28,also area unit broke im fond magnetic strap,0.96,0.04,Negative
29,29,like loud buzzing override conversations phone,0.85,0.15,Negative
30,30,ordered product first unhappy immediately,0.87,0.13,Negative
31,31,item match picture,0.79,0.21,Negative
32,32,much less jawbone going replace,0.38,0.62,Positive
33,33,instruction manual lacking,0.61,0.39,Negative
34,34,steer clear product go genuine palm replacementr pens come threepack,0.3,0.7,Positive
35,35,great phone,0.0,1.0,Positive
36,36,purchased within 2 days longer working,0.65,0.35,Negative
37,37,phone year tell great,0.02,0.98,Positive
38,38,handsfree part works fine car tries download address book treo reboots overall still rate device high,0.08,0.92,Positive
39,39,buyer beware could flush money right toilet,1.0,0.0,Negative
40,40,great phone,0.0,1.0,Positive
41,41,works,0.0,1.0,Positive
42,42,doesnt last long,0.92,0.08,Negative
43,43,plug wrong size,0.88,0.12,Negative
44,44,tried 2 units failed within 2 months pros,0.9,0.1,Negative
45,45,piece trash,0.94,0.06,Negative
46,46,ive nearly 2 years worked great,0.08,0.92,Positive
47,47,love phone handy lot features,0.01,0.99,Positive
48,48,loud enough doesnt turn like,0.89,0.11,Negative
49,49,however girl complain time phone doesnt wake like normal phone,0.63,0.37,Negative
50,50,great charger,0.01,0.99,Positive
51,51,satisfied cell phone day one,0.36,0.64,Positive
52,52,headset fulfills requirements happy purchase,0.06,0.94,Positive
53,53,worst ever,0.97,0.03,Negative
54,54,defeats purpose bluetooth headset,0.22,0.78,Positive
55,55,definitely bargain,0.63,0.37,Negative
56,56,sprint charges service,0.7,0.3,Negative
57,57,best phone market,0.02,0.98,Positive
58,58,23 bars cell phone home cant hear anything,0.81,0.19,Negative
59,59,great product price,0.0,1.0,Positive
60,60,cool,0.51,0.49,Negative
61,61,wear glasses fits fine,0.07,0.93,Positive
62,62,used talk 1 1 12 hours battery would literally drained dying,0.96,0.04,Negative
63,63,ear loop needed tiny sound great,0.02,0.98,Positive
64,64,take picture battery drops bar starts beeping letting know dieing,0.86,0.14,Negative
65,65,uncomfortable ear dont use lg vx9900 env,0.91,0.09,Negative
66,66,horrible switch 3 times,0.93,0.07,Negative
67,67,dont make mistake,0.97,0.03,Negative
68,68,good product well made,0.01,0.99,Positive
69,69,awesome device,0.11,0.89,Positive
70,70,earpiece large heavy keeps falling ear,0.53,0.47,Negative
71,71,bethe audio quality poor,0.97,0.03,Negative
72,72,everything,0.2,0.8,Positive
73,73,unreliable service tmobile,0.81,0.19,Negative
74,74,well made easy access phone handy detachable belt clip,0.13,0.87,Positive
75,75,even bmw 3 series fairly quiet trouble hearing person saying,0.78,0.22,Negative
76,76,really good product,0.05,0.95,Positive
77,77,yet run new battery two bars thats three days without charging,0.69,0.31,Negative
78,78,received orders well within shipping timeframe everything good working order overall excited source,0.02,0.98,Positive
79,79,excellent product satisfied purchase,0.07,0.93,Positive
80,80,cheap plastic creaks like old wooden floor,0.82,0.18,Negative
81,81,bought mainly charger broke soon purchasing,0.93,0.07,Negative
82,82,plantronics bluetooth excelent buy,0.73,0.27,Negative
83,83,seems completely secure holding belt keeping iphone inside,0.64,0.36,Negative
84,84,works like charm works advertised,0.01,0.99,Positive
85,85,theres horrible tick sound background calls never experienced,0.88,0.12,Negative
86,86,great reception time,0.04,0.96,Positive
87,87,problems wit hit dropping signal,0.45,0.55,Positive
88,88,trying make call exercise frustration,0.79,0.21,Negative
89,89,tmobile best customer service anywhere,0.33,0.67,Positive
90,90,screen get smudged easily touches ear face,0.68,0.32,Negative
91,91,stupid,0.71,0.29,Negative
92,92,excellent hands free tool,0.03,0.97,Positive
93,93,impressed would recommend item anyone,0.2,0.8,Positive
94,94,one favorite purchases ever,0.86,0.14,Negative
95,95,pleased headset,0.03,0.97,Positive
96,96,didnt want clip going top ear causing discomfort,0.93,0.07,Negative
97,97,perhaps phone defective people cannot hear use,0.8,0.2,Negative
98,98,doesnt hold charge,0.97,0.03,Negative
99,99,got phone around end may im completely unhappy,0.59,0.41,Negative
100,100,saggy floppy piece junk,0.99,0.01,Negative
101,101,best headset used,0.04,0.96,Positive
102,102,beware,0.61,0.39,Negative
103,103,finds cell phone right away enter car,0.61,0.39,Negative
104,104,design might ergonomic theory could stand ear,0.97,0.03,Negative
105,105,item received counterfeit,0.61,0.39,Negative
106,106,im glad found product amazon hard find wasnt high priced,0.33,0.67,Positive
107,107,however keypads tinny sometimes reach wrong buttons,0.91,0.09,Negative
108,108,keep getting better better third one ive numerous palms,0.63,0.37,Negative
109,109,looking good quality motorola headset keep looking isnt,0.1,0.9,Positive
110,110,yes shiny front side love,0.39,0.61,Positive
111,111,like design look jabra behing ear headsets 5020 pretty comfortible wear 24 hours day without pain ear,0.41,0.59,Positive
112,112,earlier review noted plug charger nothing happens,0.94,0.06,Negative
113,113,wind completely useless,0.96,0.04,Negative
114,114,ive missed numerous calls reason,0.82,0.18,Negative
115,115,drain player may also potentially fry,0.85,0.15,Negative
116,116,always used corded headsets freedom wireless helpful,0.69,0.31,Negative
117,117,bt headset disapoinment,0.37,0.63,Positive
118,118,would recommend,0.02,0.98,Positive
119,119,know made wise decision,0.71,0.29,Negative
120,120,fit,0.92,0.08,Negative
121,121,love product,0.01,0.99,Positive
122,122,good item worked started problems auto reverse tape player,0.29,0.71,Positive
123,123,bad fit way big,0.99,0.01,Negative
124,124,also new problem,0.73,0.27,Negative
125,125,warning stay away,0.95,0.05,Negative
126,126,would recommend purchasing jabra jx10 series 2 works flawlessly moto q go figure,0.03,0.97,Positive
127,127,excellent starter wireless headset,0.01,0.99,Positive
128,128,pairing iphone could happier far,0.74,0.26,Negative
129,129,worst phone ever,0.97,0.03,Negative
130,130,worst customer service ever,0.98,0.02,Negative
131,131,happy far,0.02,0.98,Positive
132,132,poor talk time performance,0.99,0.01,Negative
133,133,fits securely ear hook even need used sound better directed ear canal,0.44,0.56,Positive
134,134,waste 13 bucks,0.97,0.03,Negative
135,135,also makes easier hold,0.73,0.27,Negative
136,136,screen size big key pad lit well enough camera quality excellent camera phone,0.12,0.88,Positive
137,137,none tones acceptable,0.91,0.09,Negative
138,138,give wirefly 1 star contact cingularatt inform practice,0.65,0.35,Negative
139,139,best ive found far ive tried 2 bluetooths one best quality listener well ease using,0.01,0.99,Positive
140,140,cant get software work computer,0.87,0.13,Negative
141,141,customer service terrible,0.98,0.02,Negative
142,142,joy use,0.69,0.31,Negative
143,143,need least 3 mins get phone book time first turn phone battery life short,0.81,0.19,Negative
144,144,good audio quality,0.09,0.91,Positive
145,145,connected wifes bluetooth motorola hs850 phone worked like charm whether phone pocket case,0.19,0.81,Positive
146,146,piece crap,0.94,0.06,Negative
147,147,got aluminum case new palm vx worked really wellit protected handheld perfectly far,0.14,0.86,Positive
148,148,phone got year old slowly breaking despite much care part,0.56,0.44,Negative
149,149,oh charger seems work fine,0.68,0.32,Negative
150,150,phone falls easily,0.64,0.36,Negative
151,151,displeased,0.61,0.39,Negative
152,152,used several phone two years one best,0.23,0.77,Positive
153,153,happy item,0.03,0.97,Positive
154,154,last forever overly expensive replace easy operate sound much better others tried,0.21,0.79,Positive
155,155,worst piece crap ever along verizon customer service,0.98,0.02,Negative
156,156,fabulous,0.61,0.39,Negative
157,157,overall psyched phone appointments contacts gets great reception,0.03,0.97,Positive
158,158,disappointment,0.97,0.03,Negative
159,159,small dont even realize getting used,0.84,0.16,Negative
160,160,father v265 battery dying,0.88,0.12,Negative
161,161,great item,0.0,1.0,Positive
162,162,might gotten defect would risk buying built quality alone,0.57,0.43,Negative
163,163,im happy purchase good quality low price,0.04,0.96,Positive
164,164,cheap hey works pleasantly suprised given low cost item,0.47,0.53,Positive
165,165,average phone bad battery life operates weak network,0.95,0.05,Negative
166,166,phone crashed completely get replaced,0.7,0.3,Negative
167,167,sound quality great,0.0,1.0,Positive
168,168,works fine,0.01,0.99,Positive
169,169,wouldnt recommend buying product,0.25,0.75,Positive
170,170,worked well,0.12,0.88,Positive
171,171,two seperated mere 5 ft started notice excessive static garbled sound headset,0.31,0.69,Positive
172,172,put latest os v1 15g likes slow crawl lock every,0.76,0.24,Negative
173,173,much disappointed company,0.95,0.05,Negative
174,174,dont buy product fails,0.97,0.03,Negative
175,175,buy different phone,0.85,0.15,Negative
176,176,looking headset long time ive got couldnt happier,0.3,0.7,Positive
177,177,could get strong enough signal,0.95,0.05,Negative
178,178,volume ringer real good choices loud,0.3,0.7,Positive
179,179,save money ive item 11 months,0.88,0.12,Negative
180,180,oh forgot also mention weird color effect phone,0.28,0.72,Positive
181,181,phones working fine,0.2,0.8,Positive
182,182,phone gets extremely hot,0.29,0.71,Positive
183,183,light weight hardly notice,0.61,0.39,Negative
184,184,ive tried several different earpieces cell phone jabra one first one ive found fits ear comfortably,0.47,0.53,Positive
185,185,didnt charge,0.95,0.05,Negative
186,186,far worked like charm,0.17,0.83,Positive
187,187,would advise purchase item never worked well,0.57,0.43,Negative
188,188,love device,0.02,0.98,Positive
189,189,opens battery connection broken device turned,0.79,0.21,Negative
190,190,bad pay month service,0.89,0.11,Negative
191,191,first reception sucks never 2 bars ever,0.99,0.01,Negative
192,192,anyone near hear part conversation,0.84,0.16,Negative
193,193,treo tmobile refused replace forced buy another phone without kind upgrade discount,0.53,0.47,Negative
194,194,also phone doesnt seem accept anything except cbr mp3s preferably ripped windows media player,0.8,0.2,Negative
195,195,seller shipped quickly much cheaper competitors,0.18,0.82,Positive
196,196,nano stated son dissapointed,0.76,0.24,Negative
197,197,cannot make calls certain places,0.91,0.09,Negative
198,198,mic great,0.01,0.99,Positive
199,199,audio quality poor poor,0.99,0.01,Negative
200,200,disappointed,0.99,0.01,Negative
201,201,buttons small,0.22,0.78,Positive
202,202,big waste time,0.97,0.03,Negative
203,203,design good 4,0.16,0.84,Positive
204,204,would highly recommend product,0.02,0.98,Positive
205,205,cumbersome design,0.83,0.17,Negative
206,206,camera color balance awful,0.63,0.37,Negative
207,207,disappointed,0.99,0.01,Negative
208,208,choice headset years great sound good volume good noise cancellation,0.0,1.0,Positive
209,209,impressed going original battery extended battery,0.88,0.12,Negative
210,210,bt50 battery junk,0.97,0.03,Negative
211,211,nice headphones price work great,0.01,0.99,Positive
212,212,nice design quality,0.08,0.92,Positive
213,213,absolutel junk,0.95,0.05,Negative
214,214,earbud piece breaks easily,0.92,0.08,Negative
215,215,someone shouldve invented sooner,0.61,0.39,Negative
216,216,around years carries highest quality antiglare screen protector found date,0.5,0.5,Positive
217,217,commercials misleading,0.61,0.39,Negative
218,218,battery life also great,0.07,0.93,Positive
219,219,sweetest phone,0.35,0.65,Positive
220,220,defective crap,0.82,0.18,Negative
221,221,worthless product,0.67,0.33,Negative
222,222,waste,0.97,0.03,Negative
223,223,excellent product price,0.01,0.99,Positive
224,224,go store bought new nokia phone working great,0.28,0.72,Positive
225,225,love cable allows connect miniusb device pc,0.18,0.82,Positive
226,226,hoping,0.72,0.28,Negative
227,227,think good investment,0.07,0.93,Positive
228,228,hear im driving car usually dont even put loudest setting,0.84,0.16,Negative
229,229,good product good seller,0.01,0.99,Positive
230,230,product excellent works better verizon one boy cheaper,0.0,1.0,Positive
231,231,happy,0.01,0.99,Positive
232,232,looks nice,0.11,0.89,Positive
233,233,design odd ear clip comfortable,0.57,0.43,Negative
234,234,made case small difficult install,0.53,0.47,Negative
235,235,bluetooth range good days ago left phone trunk got call carried conversation without hitch,0.14,0.86,Positive
236,236,appears actually outperform original battery china came v325i,0.68,0.32,Negative
237,237,aggravating,0.61,0.39,Negative
238,238,especially love long battery life,0.09,0.91,Positive
239,239,nice headset priced right,0.03,0.97,Positive
240,240,cheap feel look cheap,0.57,0.43,Negative
241,241,design flaw,0.77,0.23,Negative
242,242,didnt think instructions provided helpful,0.75,0.25,Negative
243,243,delivery time,0.88,0.12,Negative
244,244,software great job could also make ringtones form existing cds without internet connection,0.17,0.83,Positive
245,245,thats huge design flaw unless im using correctly dont think case,0.85,0.15,Negative
246,246,comes strong light use light camera shots even flash sos signals seriously,0.68,0.32,Negative
247,247,found product easy set use,0.2,0.8,Positive
248,248,waste money,1.0,0.0,Negative
249,249,feels comfortable headsets wear glasses gets way sometimes,0.24,0.76,Positive
250,250,works good,0.0,1.0,Positive
251,251,igo chargers tips really great,0.06,0.94,Positive
252,252,howeverthe riingtones best neither games,0.19,0.81,Positive
253,253,impressed headset plantronics,0.69,0.31,Negative
254,254,better new,0.55,0.45,Negative
255,255,item arrived quickly works great metro pcs samsung schr450 slider phone sony premium sound ear plugs,0.0,1.0,Positive
256,256,take battery phone put back together restart,0.89,0.11,Negative
257,257,battery life still long enough motorola razor v3i,0.84,0.16,Negative
258,258,going first negatively review product,0.94,0.06,Negative
259,259,color even prettier thought would graphics incredibly sharp,0.3,0.7,Positive
260,260,attractive appears good quality,0.02,0.98,Positive
261,261,reversible plug works great,0.0,1.0,Positive
262,262,comfortable ear,0.15,0.85,Positive
263,263,real improvement,0.64,0.36,Negative
264,264,found product waaay big,0.52,0.48,Negative
265,265,sound clear people talk amazed quality,0.23,0.77,Positive
266,266,dont waste money,1.0,0.0,Negative
267,267,find inexcusable probably returning phone perhaps changing carriers,0.66,0.34,Negative
268,268,additional ear gels provided instructions whatsoever,0.58,0.42,Negative
269,269,battery holding well,0.08,0.92,Positive
270,270,needless say wasted money,0.79,0.21,Negative
271,271,theres really nothing bad say headset,0.52,0.48,Negative
272,272,much hype phone assumed best mistake,0.08,0.92,Positive
273,273,simply best bluetooth headset sound quality,0.04,0.96,Positive
274,274,impressed price cases,0.18,0.82,Positive
275,275,lot websites rating good phone,0.03,0.97,Positive
276,276,kind embarrassing use looks mostly embarrassing childlike company,0.91,0.09,Negative
277,277,really good far probably best bt headset ever,0.03,0.97,Positive
278,278,get better reception clarity phone ive,0.31,0.69,Positive
279,279,case great works fine 680,0.0,1.0,Positive
280,280,phone works great,0.0,1.0,Positive
281,281,dont waste money,1.0,0.0,Negative
282,282,work,0.99,0.01,Negative
283,283,buttons bad,0.96,0.04,Negative
284,284,love bluetooth,0.02,0.98,Positive
285,285,excellent service,0.01,0.99,Positive
286,286,particular model would work motorola q smartphone,0.79,0.21,Negative
287,287,yet plantronincs continues use flawed charger design,0.72,0.28,Negative
288,288,warning buy,0.88,0.12,Negative
289,289,excellent phone,0.0,1.0,Positive
290,290,simply want small flip phone look elsewhere extra bells whistles mediocre,0.41,0.59,Positive
291,291,setup went smoothly,0.67,0.33,Negative
292,292,product high quality chinese crap,0.76,0.24,Negative
293,293,ordered sony ericsson w810i think worked thats first used,0.74,0.26,Negative
294,294,another note phones appearance really looks rather bland especially black model,0.55,0.45,Negative
295,295,great product sure beats using fingers,0.02,0.98,Positive
296,296,gosh best phone ever,0.08,0.92,Positive
297,297,simple lightweight great fit,0.05,0.95,Positive
298,298,light easy use clear reception transmission,0.04,0.96,Positive
299,299,continue pairing periodically since somehow kept dropping,0.52,0.48,Negative
